,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
310,-0.0055239946,0.05062139,0.010171212,0.00760144,0.1690492,0.020394802,0.898584,0.00036315888,0.10105282
311,-0.00606139,0.04911357,0.00973431,0.007107973,0.1647445,0.019322336,0.90148664,0.00032707694,0.098186225
312,-0.006005898,0.04950607,0.009905316,0.007253468,0.1660248,0.019642293,0.90062046,0.00033758272,0.099041946
313,-0.005877748,0.049863458,0.010063268,0.0073842406,0.16716862,0.019927919,0.8998473,0.0003471406,0.09980555
314,-0.006359473,0.049399555,0.009672262,0.0071858764,0.16540378,0.019495249,0.90104204,0.00033256962,0.098625384
315,-0.005962327,0.050698817,0.009945728,0.0075897574,0.16891098,0.02037102,0.8986799,0.00036210893,0.100958034
316,-0.0052586347,0.05186206,0.010617174,0.008070409,0.17296737,0.021405995,0.895935,0.0003986532,0.10366631
317,-0.005502358,0.051745713,0.01075194,0.008091569,0.17312366,0.02145809,0.89582056,0.00040031967,0.10377904
318,-0.005404964,0.0520913,0.01077465,0.008195877,0.17397606,0.021679103,0.8952478,0.00040834368,0.10434387
319,-0.005516365,0.05223596,0.010654904,0.008212209,0.17409569,0.02171272,0.8951708,0.00040950614,0.10441979
320,-0.005320862,0.052074075,0.010637559,0.008144379,0.17356324,0.02156496,0.8955325,0.0004043129,0.104063235
321,-0.00524725,0.0520615,0.010893501,0.008211017,0.17411327,0.021711528,0.89515287,0.0004096055,0.10443756
322,-0.0058395416,0.051750004,0.010522939,0.00804925,0.17274708,0.021367788,0.89607847,0.00039690136,0.10352458
323,-0.005306497,0.051920354,0.010514297,0.008061111,0.17288566,0.021384597,0.8959936,0.000397876,0.103608586
324,-0.005108312,0.052513897,0.011081077,0.008396745,0.17561436,0.022107601,0.89413714,0.00042413993,0.1054387
325,-0.005110875,0.05284375,0.011269666,0.0085583925,0.1768946,0.022453547,0.8932677,0.00043692836,0.106295384
326,-0.0054899603,0.052075863,0.010831334,0.008213937,0.17411572,0.021720052,0.8951502,0.00040975315,0.10444007
327,-0.005276397,0.05247712,0.010896362,0.008341491,0.17515641,0.021988869,0.89445055,0.00041969193,0.10512972
328,-0.0053942353,0.05260265,0.010890104,0.00838691,0.17550838,0.0220868,0.89421225,0.00042320255,0.105364524
329,-0.00511761,0.053239644,0.011065938,0.008621812,0.17738569,0.022582233,0.892946,0.00044179225,0.106612265
330,-0.0047377497,0.053229928,0.0114264265,0.00870347,0.17806154,0.022756517,0.89248145,0.0004485744,0.10707004
