,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
299,-0.003575988,0.0021179318,0.029760398,0.018486917,0.009414971,0.057527423,0.091997005,0.907726,0.00027700674
300,-0.005987115,0.0025245547,0.028503515,0.01801467,0.009142756,0.05714774,0.08993534,0.9098024,0.00026228992
301,-0.004037328,0.003029257,0.030504145,0.016923368,0.00853163,0.055067003,0.08653527,0.91323316,0.00023157241
302,-0.0020834878,0.0035324693,0.03164933,0.016385317,0.008244097,0.053986847,0.084801875,0.9149807,0.00021741536
303,-0.00068003684,0.004314959,0.03125564,0.01622212,0.008177042,0.053738773,0.08401111,0.9157754,0.00021348124
304,-0.0015827492,0.0039449036,0.030838586,0.016489685,0.008329272,0.054297328,0.08491206,0.91486716,0.0002208863
305,-0.0026303008,0.0035003722,0.030588068,0.016748488,0.00846988,0.05481291,0.085826784,0.91394526,0.00022797687
306,-0.00079566985,0.0021789074,0.033677377,0.015698135,0.007873952,0.052447855,0.08307467,0.91672415,0.00020120601
307,-0.0015044287,0.003582418,0.029945709,0.01644981,0.008314788,0.054201066,0.08472588,0.91505384,0.00022021132
308,-0.0027654245,0.0030563176,0.029415585,0.016706109,0.00844425,0.05468124,0.08562161,0.9141516,0.00022681117
309,-0.0031117275,0.0030653477,0.028903283,0.017015278,0.008619785,0.05528629,0.086565845,0.91319895,0.00023521441
310,-0.0012104586,0.0034122467,0.028884865,0.01829207,0.009342432,0.057228148,0.0909425,0.9087859,0.0002715836
311,-0.0004704669,0.0030607283,0.029347338,0.019621313,0.010080934,0.059144378,0.0956116,0.90407646,0.00031198977
312,-0.00024933368,0.0030418932,0.029352821,0.020868063,0.010780096,0.06101346,0.09968616,0.8999618,0.00035204462
313,-0.0028798655,0.0016719401,0.030395426,0.02056545,0.010567367,0.060559273,0.099174246,0.90048397,0.00034176587
314,-0.0054672435,0.0024112165,0.028901078,0.0206123,0.010587096,0.06115526,0.09865005,0.9010081,0.00034191084
315,-0.0068406537,0.0035181642,0.027389206,0.020044446,0.010281324,0.06075114,0.09609028,0.9035869,0.00032279058
316,-0.007225938,0.0047371686,0.026050903,0.019360125,0.009917378,0.060023487,0.09323446,0.9064646,0.00030096274
317,-0.0019676164,0.003456533,0.03195796,0.016401708,0.008265376,0.05405116,0.08489655,0.914885,0.0002184467
318,-0.00065810233,0.0017909408,0.035527565,0.015450418,0.0077322125,0.05195868,0.0824029,0.9174024,0.0001947391
319,0.0010551736,0.0025094748,0.036852993,0.015119135,0.007562816,0.051288366,0.08133515,0.91847783,0.00018696426
320,0.003809981,0.0020552874,0.040028192,0.014134228,0.0070206523,0.049046695,0.07845602,0.92137975,0.00016420544
321,0.0040698573,0.0015789866,0.04138557,0.013894677,0.006881237,0.048459947,0.07788336,0.92195785,0.00015881492
322,0.004861288,0.0020855665,0.041391946,0.013799131,0.0068351626,0.048276782,0.07745309,0.9223902,0.00015667
323,0.0046339557,0.0023154616,0.04038594,0.013931096,0.0069077015,0.04857856,0.077768385,0.9220721,0.00015948818
324,0.0042056367,0.0023325086,0.039704062,0.014063597,0.006978035,0.048864484,0.07816874,0.9216689,0.00016239594
325,0.0041124746,0.0030178428,0.037797727,0.014318347,0.007127881,0.04949051,0.07868455,0.92114735,0.00016810867
326,0.0034372136,0.0024125576,0.03788004,0.0143435,0.0071309805,0.04948151,0.07892843,0.9209029,0.00016865526
327,0.0020863935,0.0015017986,0.038254835,0.014482439,0.007193804,0.049726665,0.079631165,0.9201969,0.00017186819
328,0.0014933273,0.0019402504,0.036911406,0.014785647,0.007362902,0.050436437,0.0804063,0.919415,0.00017874916
329,0.0016143247,0.00199306,0.03754995,0.01472944,0.0073284507,0.050302327,0.080303855,0.91951877,0.00017737324
330,0.0020958707,0.0021945238,0.038132586,0.0146048665,0.0072593093,0.05003345,0.07991306,0.9199125,0.00017435939
331,0.002771251,0.0023924112,0.038580336,0.014433861,0.007166922,0.049667418,0.07932907,0.92050064,0.00017031211
332,0.0035286471,0.003065586,0.03790001,0.014442325,0.007187307,0.049759924,0.079116665,0.9207127,0.00017065086
333,0.0029132292,0.0024923682,0.03818015,0.0144866705,0.0072062016,0.04981184,0.07943807,0.9203901,0.00017185805
334,0.0024030134,0.0018660426,0.038874008,0.014453411,0.007180214,0.049699962,0.07951654,0.9203123,0.0001711223
335,0.003374271,0.0019198656,0.039710917,0.014192045,0.007042706,0.04913056,0.07868845,0.92114633,0.00016530155
336,0.0032342598,0.002171278,0.039238907,0.014300764,0.0071032643,0.049383223,0.07897655,0.9208557,0.00016772689
337,0.0032626912,0.0022611022,0.039055444,0.014289439,0.0070931315,0.049346566,0.07891071,0.9209219,0.00016727665
338,0.0042592213,0.0028372407,0.038673617,0.014154077,0.007026911,0.049086273,0.078266226,0.92156965,0.00016409117
339,0.0037156865,0.0020526052,0.039319612,0.014096856,0.0069856048,0.048891485,0.07831304,0.921524,0.0001628788
340,0.0033883378,0.0022324324,0.038502134,0.014277935,0.007090986,0.049330473,0.07878855,0.9210443,0.00016706545
341,0.0026470348,0.0015065074,0.039035834,0.014297307,0.0070943832,0.049338877,0.0790339,0.92079854,0.00016756907
342,0.0030977055,0.0016563535,0.039946236,0.014182627,0.0070320964,0.04908818,0.07873047,0.9211045,0.00016500833
343,0.0039516613,0.0019732118,0.040469147,0.013992906,0.0069304705,0.048678517,0.078067884,0.92177147,0.00016064683
344,0.0047066137,0.0024428964,0.04015986,0.013905644,0.0068894625,0.048516095,0.07762578,0.92221564,0.00015864812
345,0.004604511,0.0023360848,0.04005096,0.013927817,0.0069023967,0.04855734,0.077722386,0.9221183,0.00015925254
346,0.0041153356,0.0023082495,0.039545693,0.01406759,0.006976843,0.048860133,0.07817689,0.9216608,0.00016236804
347,0.0041043684,0.001957178,0.040183105,0.0139299035,0.00689131,0.048502803,0.07785346,0.92198735,0.0001591041
348,0.0050308034,0.002283156,0.04034523,0.013758004,0.0068050623,0.048154175,0.07717071,0.922674,0.00015530238
349,0.00440412,0.0016880035,0.040555395,0.013788998,0.006817341,0.048198104,0.07739408,0.9224499,0.00015604726
350,0.0044436976,0.0018926859,0.04057578,0.01383996,0.0068485737,0.048330963,0.07754497,0.9222978,0.0001572575
351,0.004523091,0.0030139089,0.03811524,0.014182448,0.0070542693,0.04920143,0.07821326,0.9216218,0.00016492397
352,0.0033174083,0.0033178926,0.0355101,0.014732957,0.0073689222,0.050471008,0.07973052,0.92009157,0.0001778772
353,4.594773e-05,0.002602756,0.033165134,0.01564914,0.007869005,0.052426875,0.082702905,0.9170967,0.00020042046
354,-0.000569351,0.0030201375,0.030843116,0.016990304,0.008625269,0.0549531,0.086925045,0.9128393,0.00023573513
355,-0.001496382,0.0019159019,0.031481303,0.018131256,0.009231031,0.056660414,0.09125934,0.9084729,0.00026776548
356,-0.0023033693,0.002273202,0.030480959,0.018990517,0.009706199,0.0582065,0.09384163,0.90586567,0.00029262342
357,-0.0040640905,0.002621144,0.029141225,0.01913464,0.009777069,0.05872661,0.09389057,0.90581346,0.00029598628
358,-0.0061034635,0.003043741,0.028018035,0.018530667,0.00943476,0.058119774,0.0914346,0.90828836,0.0002770515
359,-0.005966611,0.004194796,0.02656839,0.018518269,0.009446502,0.05835992,0.090809494,0.9089144,0.00027622798
360,-0.005534239,0.004188776,0.027520157,0.017923772,0.009109259,0.057278097,0.08902195,0.9107191,0.0002589542
361,-0.0022840574,0.0035452247,0.031039275,0.01655382,0.008350611,0.054377913,0.085251234,0.9145264,0.00022231013
362,-0.0012946799,0.00340873,0.031886972,0.016194522,0.0081554055,0.05360812,0.08421607,0.9155707,0.00021322968
363,-0.0018200353,0.0029293895,0.032595254,0.016174495,0.008130312,0.05350274,0.08437358,0.91541386,0.00021259824
364,0.0010126755,0.0027279258,0.034903087,0.015183806,0.007588804,0.051354527,0.08138023,0.9184317,0.00018810086
365,0.001121752,0.0027266145,0.034690417,0.0151613355,0.007578552,0.051313996,0.081260026,0.9185524,0.00018755521
366,0.0010735318,0.0020930767,0.03605888,0.014957905,0.007455349,0.050804853,0.08089036,0.9189269,0.0001827152
367,0.0021582171,0.003440261,0.033982612,0.015090287,0.007557094,0.0512439,0.08074176,0.9190723,0.00018592736
368,0.00043528527,0.002950251,0.03256432,0.015573978,0.007823944,0.052274227,0.082291216,0.91751075,0.00019802945
369,-0.0014484599,0.0028005838,0.030873992,0.016239285,0.008197665,0.053715646,0.08430417,0.9154807,0.00021522712
370,-0.0024505332,0.002178371,0.030730523,0.017101407,0.008662283,0.055169284,0.08742966,0.9123321,0.00023831775
371,-0.0016815141,0.0027770102,0.030023493,0.01825869,0.009313047,0.057091057,0.091174595,0.9085545,0.00027092677
372,-0.0046683624,0.0018747151,0.030142464,0.018482268,0.009401321,0.057593346,0.092060775,0.90766245,0.00027674256
373,-0.0027052239,0.004104197,0.02771417,0.018885374,0.009676337,0.058551967,0.092403024,0.9073085,0.00028841518
374,-0.0024542287,0.0033503473,0.029056348,0.019073665,0.009772241,0.058642447,0.09349772,0.9062076,0.00029466482
375,-0.0036184266,0.00252828,0.0301793,0.019702971,0.010103524,0.05958724,0.09594423,0.9037416,0.00031418644
376,-0.0042343214,0.0031847656,0.029219545,0.020395935,0.010495186,0.0608896,0.09779864,0.9018659,0.00033558795
377,-0.0049046353,0.002587974,0.029748477,0.018523335,0.009436846,0.057876885,0.0918791,0.90784305,0.000277841
378,-0.004001625,0.003939569,0.028357543,0.018950641,0.0097,0.058764458,0.09272196,0.9069877,0.00029027092
379,-0.0051431134,0.003675133,0.028424181,0.01876682,0.0095844865,0.058540225,0.092147715,0.90756786,0.00028448302
380,-0.005470939,0.0043041706,0.027559675,0.018919349,0.009676576,0.05897689,0.09229789,0.90741354,0.00028864338
381,-0.0061451867,0.0040128827,0.027894832,0.01832056,0.009335399,0.058023334,0.090409845,0.9093191,0.0002709449
382,-0.006858237,0.0044002235,0.026967742,0.018654764,0.009521544,0.058749497,0.0912091,0.9085107,0.00028022283
383,-0.00095362216,0.0020859241,0.034968175,0.015586257,0.007793069,0.05215788,0.08291745,0.9168848,0.00019788662
384,0.00031446666,0.0026401877,0.035443462,0.015319049,0.0076542497,0.05163783,0.08192462,0.91788423,0.00019118746
385,0.0013624951,0.0038449168,0.033744194,0.015413225,0.0077323914,0.05197382,0.081728734,0.9180777,0.00019355647
386,0.0004140064,0.0028675795,0.034494855,0.015442848,0.0077367425,0.051950395,0.0821597,0.91764575,0.00019456928
387,-0.00043637305,0.0028580427,0.03393016,0.015721202,0.007888496,0.0525496,0.08303311,0.91676533,0.00020147082
388,0.00035529584,0.002880156,0.03373698,0.015538752,0.0077988505,0.052176893,0.08237404,0.91742873,0.00019722812
389,-0.0018175319,0.0025606155,0.03214959,0.01618296,0.0081477165,0.05353105,0.08439294,0.91539353,0.00021346041
390,-0.0028587058,0.0023183823,0.032227732,0.016410708,0.008261144,0.053973198,0.085232705,0.91454816,0.00021915446
391,-0.0025457218,0.0027692914,0.032232143,0.016381204,0.008242011,0.053928614,0.08504772,0.91473424,0.00021797832
392,-0.0017433241,0.0032263994,0.032432176,0.016220152,0.008156657,0.053621233,0.084437944,0.9153484,0.00021361749
393,-0.001521416,0.0036727786,0.031776346,0.01630199,0.00821048,0.053844273,0.08450673,0.9152776,0.00021568724
394,-0.0012148693,0.0032251477,0.03320662,0.016008914,0.008037031,0.053161263,0.08384805,0.9159438,0.0002081475
395,0.0023212358,0.0029577017,0.03586159,0.0148230195,0.00739491,0.05058676,0.080207065,0.9196134,0.0001794608
396,0.0017772242,0.0027322173,0.0352929,0.014961779,0.0074717402,0.05088401,0.08064823,0.91916883,0.00018286236
397,0.00085484236,0.0023096204,0.035323776,0.015127778,0.0075558424,0.051208615,0.08132151,0.91849154,0.00018690716
398,0.0015901849,0.0023294687,0.03609959,0.014877737,0.007416904,0.05065179,0.08056975,0.91924936,0.00018087277
399,0.0016558692,0.0021151304,0.036825098,0.014741421,0.0073323846,0.05031407,0.08025166,0.9195709,0.00017745081
400,0.0025159046,0.0032874942,0.035070993,0.01487124,0.007427156,0.050727785,0.0801841,0.9196353,0.00018050887
401,0.0016032383,0.003581047,0.032800652,0.015369356,0.0077192783,0.051882386,0.08149451,0.91831255,0.00019288578
402,-0.001141794,0.0021314025,0.03270308,0.015862286,0.00797236,0.052826107,0.083470255,0.9163243,0.00020551101
403,-0.0030488446,0.002144754,0.031245925,0.016531706,0.008341074,0.054256797,0.08549321,0.914284,0.00022276728
404,-0.0046867207,0.0020630062,0.030519523,0.017011225,0.008591533,0.055226326,0.087005384,0.91275954,0.00023507788
405,-0.004793413,0.0022410452,0.031336643,0.017012715,0.008582175,0.055217147,0.087110765,0.91265446,0.00023476362
406,-0.0033519343,0.0033572018,0.031189837,0.016842067,0.008503437,0.054967105,0.08626177,0.9135083,0.00022993339
407,-0.0024573281,0.004271418,0.030079342,0.016895294,0.008557439,0.05519271,0.08604285,0.91372555,0.00023152234
408,-0.0031513646,0.0041404665,0.029243447,0.017178774,0.008722603,0.05579686,0.08686231,0.91289824,0.00023955492
409,-0.0030252412,0.003962666,0.028947808,0.017949224,0.009152889,0.057042718,0.089502044,0.91023654,0.0002613908
410,-0.00044537336,0.0036274195,0.029904164,0.017785609,0.009072304,0.05637288,0.089365184,0.9103772,0.00025758825
411,-0.001356788,0.0020634532,0.031224348,0.017845273,0.009074509,0.0562073,0.09021205,0.90952855,0.0002594571
412,-0.0023872927,0.0021619499,0.030264057,0.018379569,0.0093643665,0.05721855,0.091778524,0.9079471,0.00027432718
413,-0.0042317584,0.0023282468,0.029284932,0.018346906,0.009334981,0.057424486,0.09135252,0.9083749,0.00027256092
414,-0.0052213743,0.0032332242,0.027597584,0.017797768,0.009037912,0.056863844,0.088885434,0.9108585,0.0002559943
415,-0.0051967576,0.0034460723,0.027695633,0.017606616,0.0089306235,0.056569815,0.08819741,0.91155225,0.00025039766
416,-0.0041769817,0.003755778,0.028601743,0.017311096,0.008770049,0.05598253,0.08731525,0.91244256,0.00024226421
417,-0.002603598,0.0033437014,0.030846693,0.016592622,0.008366704,0.05443144,0.085406646,0.9143701,0.00022323747
418,-0.0017914847,0.0031769276,0.032500602,0.016188145,0.008133113,0.05353445,0.084360585,0.91542685,0.00021259296
419,6.4723194e-05,0.003942549,0.03293381,0.015793324,0.007927954,0.052758634,0.08292618,0.9168713,0.00020250278
420,0.0033906624,0.0030372143,0.035817362,0.014561236,0.0072602034,0.050031424,0.07925722,0.92056936,0.00017345358
421,0.0010952875,0.0034022331,0.032084145,0.015530944,0.007811606,0.05223,0.08197775,0.91782516,0.00019705138
422,-0.0025112107,0.0021487176,0.030914105,0.016378641,0.0082604885,0.053936005,0.08493748,0.9148437,0.00021879523
423,-0.0025123432,0.0025722682,0.029953457,0.017321348,0.008787036,0.055621445,0.08795989,0.911796,0.00024409301
424,-0.0018284395,0.0031476915,0.029180266,0.018005848,0.009175003,0.056773245,0.090073414,0.90966326,0.00026324662
425,-0.0005335286,0.0032052696,0.029341139,0.018946946,0.00970757,0.058136046,0.093323834,0.9063848,0.00029132052
426,0.0003382489,0.0028789341,0.029919364,0.019877553,0.010228217,0.059399545,0.09665315,0.9030264,0.00032050195
427,7.098168e-05,0.0023298562,0.030333199,0.020703793,0.010679543,0.060555995,0.099575624,0.9000772,0.00034718015
428,-0.0006586388,0.0023673773,0.029871501,0.021606505,0.0111807585,0.062004566,0.10232454,0.8972985,0.00037692062
429,-0.0027549341,0.0024308264,0.02931676,0.021582007,0.011150181,0.062255144,0.10199712,0.8976278,0.00037511875
430,-0.004048951,0.0035117567,0.027707018,0.020845652,0.0107450485,0.061588824,0.09893259,0.900718,0.0003494071
431,-0.0059706643,0.0034355521,0.02712921,0.017960608,0.009124756,0.05726224,0.08926729,0.91047245,0.0002602689
432,-0.0033590868,0.0035949647,0.029396154,0.01692599,0.0085501075,0.055149972,0.08622508,0.9135432,0.000231678
433,-0.0013643578,0.0034766197,0.031577446,0.01617229,0.008133352,0.053541362,0.0840897,0.91569823,0.00021212794
434,0.0010673329,0.0025656223,0.035097696,0.015073478,0.007519841,0.051084936,0.08106277,0.9187521,0.0001851618
435,0.0027517602,0.0021689534,0.03763,0.014384091,0.0071347356,0.049516976,0.07909571,0.92073536,0.00016897162
436,0.0042685196,0.0012137294,0.040300526,0.013694465,0.006762624,0.04798633,0.077025324,0.92282087,0.00015374443
437,0.004846327,0.0020940304,0.04006163,0.013807595,0.0068404675,0.048317254,0.07724858,0.92259485,0.00015653178
438,0.0042341277,0.001850903,0.04052583,0.01391834,0.0068956614,0.048526168,0.077805154,0.9220357,0.000159166
439,0.0039243624,0.0021566153,0.03986112,0.014099956,0.0069974065,0.048950076,0.07832425,0.92151254,0.00016324424
440,0.0036119148,0.0020262003,0.040041484,0.014143527,0.0070164204,0.04902053,0.078557394,0.9212785,0.00016423344
441,0.0039635226,0.0026339293,0.03903345,0.014213622,0.00706172,0.049220324,0.07855586,0.9212785,0.000165694
442,0.0038655326,0.0026682615,0.03835664,0.014284074,0.0071038604,0.049385667,0.07870757,0.9211251,0.00016735919
443,0.002922289,0.0026490092,0.03697876,0.0146128535,0.007287383,0.050123096,0.07968377,0.9201412,0.00017506527
444,0.0013226792,0.0021759272,0.036147155,0.014967501,0.007471144,0.050851822,0.08091978,0.9188968,0.00018336346
445,0.0010930821,0.0031750202,0.033616997,0.015376687,0.0077118874,0.05183935,0.08175378,0.91805315,0.00019308117
446,0.00021647662,0.0037676096,0.030427434,0.015936255,0.008037269,0.053125203,0.08304276,0.9167503,0.00020698253
447,0.00033121556,0.0034609437,0.029523827,0.016803205,0.0085296035,0.05461496,0.086007535,0.91376203,0.00023036955
448,0.0010808632,0.0021217763,0.031065263,0.018409908,0.00940454,0.056840003,0.092226766,0.907497,0.00027634378
449,0.002804689,0.0022252202,0.031140901,0.02084589,0.01077956,0.060396016,0.10038125,0.89926565,0.00035306963
450,0.005069129,0.0027593076,0.03051994,0.023960352,0.012569964,0.064702034,0.11001581,0.8895204,0.00046386264
451,0.0047708973,0.0021892488,0.030819513,0.026738465,0.014144301,0.0683372,0.11855175,0.8808741,0.0005741678
452,0.002843611,0.002005428,0.030491985,0.028801322,0.015310049,0.071248114,0.12430892,0.87502915,0.00066186674
453,0.00025444478,0.0025500357,0.029368378,0.029596865,0.01575458,0.07281369,0.12587298,0.8734317,0.0006953178
454,-0.0020175949,0.003821969,0.027434386,0.029635072,0.015781105,0.073586464,0.12488579,0.87442,0.00069418707
455,-0.0034723058,0.004499942,0.026492514,0.026753962,0.014119148,0.070212066,0.11625026,0.88318187,0.0005678879
456,-0.005707212,0.0044783354,0.026046313,0.02262801,0.01174897,0.06471264,0.103796646,0.89579475,0.00040872683
457,-0.006594725,0.004685998,0.02581755,0.019719958,0.010116816,0.06047243,0.09445052,0.9052375,0.0003120019
458,-0.0054609254,0.005725682,0.025030233,0.019312501,0.009914577,0.059935868,0.0927424,0.9069581,0.00029950676
459,-0.0043930486,0.004468471,0.02735249,0.017688036,0.0089975,0.05684942,0.08816755,0.9115796,0.0002528408
460,-0.00069142133,0.002152145,0.033231594,0.015656829,0.007850468,0.052356124,0.08287014,0.91692984,0.00020002943
461,-0.0009865239,0.0029152632,0.031494357,0.016019702,0.008063257,0.05321151,0.08367197,0.9161189,0.00020906751
462,-0.0026241615,0.0020390153,0.03200803,0.016226888,0.008152425,0.053543508,0.084657304,0.9151285,0.00021413519
463,-0.0027001575,0.0024673939,0.031743623,0.016375005,0.008239806,0.053910732,0.08498976,0.9147924,0.00021785875
464,-0.0028467253,0.0020122528,0.033144988,0.016241968,0.008158207,0.05360186,0.08481696,0.9149686,0.00021446518
465,-0.0019669607,0.0028731823,0.033245064,0.016219795,0.008161247,0.053643048,0.08455953,0.91522646,0.00021398782
466,-0.001332052,0.0034908652,0.0330076,0.016207814,0.008164704,0.053668678,0.08436421,0.91542214,0.0002137109
467,-0.0012003854,0.0034900308,0.033330776,0.016159713,0.008137286,0.05355519,0.08427174,0.91551566,0.00021254852
468,0.001342468,0.0033189058,0.034775533,0.015321016,0.0076836944,0.051741898,0.081681825,0.91812634,0.00019188478
469,0.0008717105,0.0022628903,0.03615091,0.015094876,0.0075357556,0.05112356,0.08135331,0.9184605,0.00018624622
470,0.0010468885,0.0022732615,0.036322333,0.015022278,0.007494569,0.050970674,0.08110429,0.9187114,0.00018437357
471,0.0019768402,0.0025353432,0.036352016,0.014845908,0.0074082017,0.050620735,0.08043121,0.9193885,0.000180335
