,mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
328,0.025187574,-0.0031232387,-0.001567397,0.06036818,0.025278687,0.00810349,0.003036734,0.075709954,0.92125326
329,0.025949739,-0.00034423172,-0.0005559658,0.062477946,0.026465416,0.0086042285,0.0032381131,0.07741731,0.91934454
330,0.02584555,-0.0022134334,-0.0014058088,0.06190604,0.026134849,0.008468747,0.0031801257,0.07693665,0.9198832
331,0.025524043,-0.0047326833,-0.0020672416,0.06276655,0.026563525,0.0086711645,0.0032561913,0.07763948,0.9191043
332,0.025323354,-0.004133299,-0.0017307734,0.062461376,0.026397526,0.008596659,0.003229146,0.07741293,0.91935796
333,0.025786303,-0.0021611005,-0.0010229682,0.063611746,0.0270558,0.008875191,0.0033421752,0.078334495,0.91832334
334,0.025955044,-0.0035280734,-0.0014640426,0.06495333,0.027778625,0.009202838,0.00346817,0.07938969,0.9171421
335,0.026143156,-0.0019934922,-0.000861082,0.06536889,0.028028548,0.009305656,0.0035121671,0.079725176,0.9167626
336,0.026158355,-0.0023108274,-0.0010971164,0.064933896,0.027787924,0.009199381,0.0034688094,0.07937083,0.91716033
337,0.025514327,-0.005545333,-0.0021949147,0.06382543,0.027128458,0.008925438,0.0033552719,0.07849265,0.91815203
338,0.025293194,-0.005143121,-0.0018676256,0.06376487,0.027091682,0.008908689,0.0033509382,0.078466125,0.9181829
339,0.02507504,-0.004506424,-0.0017553305,0.062135577,0.026209772,0.008517325,0.0031981687,0.07716205,0.91963977
340,0.02481743,-0.006378606,-0.0023714637,0.06201625,0.026118696,0.008487523,0.003183297,0.077064514,0.9197522
341,0.024685465,-0.007166341,-0.0024376845,0.06282139,0.026540041,0.008677661,0.0032576683,0.07772562,0.9190167
342,0.02469828,-0.0061062127,-0.0020292138,0.06263304,0.026449263,0.008632481,0.0032422848,0.07758235,0.9191754
343,0.024604224,-0.0055710822,-0.0019739603,0.061349213,0.025761127,0.008328199,0.003123334,0.07654167,0.920335
344,0.02496966,-0.003542617,-0.0013598537,0.06144178,0.025842607,0.00835216,0.0031357056,0.076610684,0.92025363
345,0.024791203,-0.0047657043,-0.001979146,0.06027341,0.025199652,0.008078814,0.0030253243,0.07564505,0.9213297
346,0.0247434,-0.004075244,-0.0017512774,0.05975759,0.024929464,0.007959187,0.0029797375,0.07522707,0.92179316
347,0.025159441,-0.0033151656,-0.0015070771,0.06103742,0.02563411,0.008259177,0.0030981535,0.07626431,0.92063755
348,0.02499982,-0.00507994,-0.0021209454,0.0611493,0.025671959,0.008284688,0.0031049615,0.076350376,0.9205447
349,0.025038384,-0.00365372,-0.0015664434,0.061027884,0.025621712,0.008256078,0.0030967745,0.07626246,0.92064077
350,0.02519741,-0.0044199973,-0.0018406247,0.061961234,0.02612102,0.008477092,0.0031817332,0.07701007,0.91980815
