"","date","Close","R","r","one_day_loss","CMM_VaR","non_par_VaR","GARCH_VaR","NNet_VaR"
"1",2001-01-02,1283.27002,NA,NA,NA,NA,NA,NA,NA
"2",2001-01-03,1347.560059,0.0500986059036897,0.0488840701445943,-50098.6059036897,NA,NA,NA,NA
"3",2001-01-04,1333.339966,-0.0105524743814034,-0.0106085465548205,10552.4743814034,NA,NA,NA,NA
"4",2001-01-05,1298.349976,-0.0262423619573705,-0.0265928378817248,26242.3619573705,NA,NA,NA,NA
"5",2001-01-08,1295.859985,-0.0019178118735529,-0.00191965322936927,1917.8118735529,NA,NA,NA,NA
"6",2001-01-09,1300.800049,0.00381218963250871,0.00380494165222167,-3812.18963250871,NA,NA,NA,NA
"7",2001-01-10,1313.27002,0.00958638570899991,0.00954072787732141,-9586.38570899991,NA,NA,NA,NA
"8",2001-01-11,1326.819946,0.0103176999350066,0.0102648357824027,-10317.6999350066,NA,NA,NA,NA
"9",2001-01-12,1318.550049,-0.00623287057519116,-0.00625237600511319,6232.87057519116,NA,NA,NA,NA
"10",2001-01-16,1326.650024,0.00614309256303405,0.00612430069078673,-6143.09256303405,NA,NA,NA,NA
"11",2001-01-17,1329.469971,0.00212561485620563,0.00212335893319704,-2125.61485620563,NA,NA,NA,NA
"12",2001-01-18,1347.969971,0.0139153199421907,0.0138193907766242,-13915.3199421907,NA,NA,NA,NA
"13",2001-01-19,1342.540039,-0.00402822920155393,-0.00403636437103838,4028.22920155393,NA,NA,NA,NA
"14",2001-01-22,1342.900024,0.000268137254415286,0.000268101312046909,-268.137254415286,NA,NA,NA,NA
"15",2001-01-23,1360.400024,0.013031498761817,0.0129473193160106,-13031.498761817,NA,NA,NA,NA
"16",2001-01-24,1364.300049,0.0028668222075832,0.00286272070977134,-2866.8222075832,NA,NA,NA,NA
"17",2001-01-25,1357.51001,-0.0049769396438686,-0.00498936585479104,4976.9396438686,NA,NA,NA,NA
"18",2001-01-26,1354.949951,-0.00188584907745904,-0.00188762952962485,1885.84907745904,NA,NA,NA,NA
"19",2001-01-29,1364.170044,0.0068047480227555,0.00678170022217017,-6804.7480227555,NA,NA,NA,NA
"20",2001-01-30,1373.72998,0.00700787709131085,0.00698343604079721,-7007.87709131085,NA,NA,NA,NA
"21",2001-01-31,1366.01001,-0.00561971429057703,-0.00563556429448653,5619.71429057703,NA,NA,NA,NA
"22",2001-02-01,1373.469971,0.00546113201615559,0.0054462741041732,-5461.13201615559,NA,NA,NA,NA
