"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.02187,0.021,0.483,0.054
"CMM",0.03777,0,0.744,0
"GARCH",0.01789,0.109,0.566,0.235
"LSTM_MDN_vanilla",0.0159,0.22,0.611,0.415
"LSTM_MDN_reg",0.01988,0.05,0.184,0.06
"LSTM_MDN_3C",0,0.001,1,0.006
