"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.014,0.719,0.199,0.918
"CMM",0.018,2.613,0.331,2.943
"GARCH",0.014,0.719,0.199,0.918
"LSTM_MDN_vanilla",0,10.05,0,10.05
"LSTM_MDN_reg",0,10.05,0,10.05
"LSTM_MDN_3C",0,10.05,0,10.05
