"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.00984,0.975,0.752,0.951
"CMM",0.01969,0.053,0.526,0.125
"GARCH",0.00787,0.617,0.8,0.855
"LSTM_MDN_vanilla",0.00197,0.026,0.95,0.084
"LSTM_MDN_reg",0.00984,0.975,0.752,0.951
"LSTM_MDN_3C",0.00394,0.118,0.899,0.291
