"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.01193,0.673,0.054,0.142
"CMM",0.01789,0.109,0.144,0.095
"GARCH",0.01988,0.05,0.523,0.119
"LSTM_MDN_vanilla",0,0.001,1,0.006
"LSTM_MDN_reg",0.00795,0.632,0.8,0.864
"LSTM_MDN_3C",0.00795,0.632,0.8,0.864
