"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.01193,0.178,3.723,3.901
"CMM",0.01789,2.564,2.137,4.701
"GARCH",0.01988,3.853,0.407,4.26
"LSTM_MDN_vanilla",0.00994,0,0.101,0.101
"LSTM_MDN_reg",0.00596,0.967,0.036,1.003
"LSTM_MDN_3C",0.0159,1.502,0.259,1.761
