"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.00984,0.001,0.1,0.101
"CMM",0.01969,3.754,0.402,4.156
"GARCH",0.00787,0.25,0.064,0.314
"LSTM_MDN_vanilla",0.00197,4.942,0.004,4.946
"LSTM_MDN_reg",0.00984,0.001,0.1,0.101
"LSTM_MDN_3C",0.00394,2.45,0.016,2.466
