"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.02187,5.346,0.493,5.839
"CMM",0.03777,22.958,0.107,23.065
"GARCH",0.01789,2.564,0.329,2.893
"LSTM_MDN_vanilla",0.02386,7.026,4.875,11.901
"LSTM_MDN_reg",0.06362,65.968,0.001,65.969
"LSTM_MDN_3C",0.00596,0.967,0.036,1.003
