"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.02178,5.298,1.445,6.743
"CMM",0.02178,5.298,1.445,6.743
"GARCH",0.01386,0.679,3.105,3.784
"LSTM_MDN_vanilla",0,10.151,0,10.151
"LSTM_MDN_reg",0.01386,0.679,0.197,0.876
"LSTM_MDN_3C",0.00396,2.414,0.016,2.43
