"","proportion_overshoots","LRuc","LRcci","LRcc"
"historical",0.01992,3.873,1.758,5.631
"CMM",0.03586,20.352,5.181,25.533
"GARCH",0.02191,5.37,1.435,6.806
"LSTM_MDN_vanilla",0.0239,7.054,10.029,17.083
"LSTM_MDN_reg",0.00797,0.225,0.064,0.289
"LSTM_MDN_3C",0.00398,2.377,0.016,2.393
